requirement,configuration
"Configuring Multioperation Scheduling of IP SLAs Operations, Proactive Threshold Monitoring of IP SLAs Operations","Cisco IOS Master Commands List, Cisco IOS commands, Cisco IOS IP SLAs Command Reference, Cisco IOS IP SLAs commands"
Specify the protocol data size for an IP SLAs operation's request packet.,request-data-size bytes
RTT Thresholds configuration for pseudo-wire monitoring with an upper threshold of 6000 milliseconds and a lower threshold of 3000 milliseconds. Connection Loss configuration to send an SNMP logging trap when there is a connection loss.,ip sla reaction-configuration 777 react rtt threshold-value 6000 3000 threshold-type immediate action-type traponly; ip sla reaction-configuration 777 react connectionLoss threshold-type immediate action-type traponly
The requirement is to add support for Virtual Circuit Connectivity Verification (VCCV) for Pseudo-Wire Emulation Edge-to-Edge (PWE3) services across MPLS networks through the IP SLAs VCCV operation.,"The configuration includes software releases like 12(33)SB, 12.2(33)SRC, 15.0(1)S, and Cisco IOS XE 3.1.0SG that introduced or support this feature."
"Support multioperation scheduling of IP SLAs operations, proactive threshold violation monitoring through SNMP trap notifications and syslog messages.","Metrics supported by the IP SLAs Ethernet operation include round-trip time latency, unprocessed packets, packet loss (source-to-destination and destination-to-source), out-of-sequence, tail-dropped, and late packets."
Configure the default value for IP SLAs Ethernet ping operations.,request-data-size 64
Set the timeout for an IP SLAs Ethernet operation to 10 seconds.,Device(config-ip-sla-ethernet-params)# timeout 10000
Enables privileged EXEC mode,enable
Gather statistical history information for an IP SLAs operation,"history history-parameter
Example: Device(config-ip-sla-ethernet-echo)# history hours-of-statistics-kept 3

Requirement: Configure the Simple Network Management Protocol (SNMP) owner of an IP SLAs operation
Configuration: owner owner-id
Example: Device(config-ip-sla-ethernet-echo)# owner admin

Requirement: Set the padding size for the data frame of an IP SLAs Ethernet operation
Configuration: request-data-size bytes
Example: Step 10, Device(config-ip-sla-ethernet-echo)# request-data-size 64

Requirement: Create a user-specified identifier for an IP SLAs operation
Configuration: tag text
Example: Step 11, Device(config-ip-sla-ethernet-echo)# tag TelnetPollServer1"
Configure IP SLAs operation with threshold and timeout values.,"Set the threshold time in milliseconds for an IP SLAs operation using the ""threshold"" command, followed by the desired value (e.g., Device(config-ip-sla-ethernet-echo)# threshold 10000). Set the timeout time in milliseconds for an IP SLAs operation using the ""timeout"" command, followed by the desired value (e.g., Device(config-ip-sla-ethernet-echo)# timeout 10000)."
Configure scheduling parameters for an IP SLAs auto Ethernet operation.,ip sla ethernet-monitor schedule operation-number schedule-period seconds [frequency [seconds]]
Schedule an IP SLA operation and configure its parameters.,"• ip sla schedule operation-number [life {forever | seconds}] [start-time {hh : mm[: ss] [month day | day month]} | pending | now | after hh : mm : ss}] [ageout seconds] [recurring]
• ip sla group schedule group-operation-number operation-id-numbers schedule-period schedule-period-range [ageout seconds] frequency group-operation-frequency [life{forever | seconds}] [start-time{hh:mm[:ss] [month day | day month] | pending | now | after hh:mm:ss}]"
Monitoring system should detect three consecutive connection loss events and send an SNMP trap notification. The schedule period for operations 10 and 20 is set to 60 seconds and both are scheduled to start immediately.,"Configuration A - IP SLA Ethernet-Monitor (Operation 10)
Type: Echo domain testdomain VLAN 34
Reaction Configuration: Connection loss, threshold type consecutive (3), action type trapOnly
Schedule: Start time now, Schedule period 60 seconds

Configuration B - IP SLA Ethernet-Monitor (Operation 20)
Type: Echo domain testdomain EVC testevc
Reaction Configuration: Connection loss, threshold type consecutive (3), action type trapOnly
Schedule: Start time now, Schedule period 60 seconds"
- IP SLA reaction configuration with consecutive threshold type and trapOnly action type,"- Configuration A:
  - ip sla 1
  - ethernet echo mpid 23 domain testdomain vlan 34
  - ip sla reaction-configuration 1 react connectionLoss threshold-type consecutive 3 action-type trapOnly
  - ip sla schedule 1 start-time now
- Configuration B:
  - ip sla 5
  - ethernet echo mpid 23 domain testdomain evc testevc
  - ip sla reaction-configuration 5 react connectionLoss threshold-type consecutive 3 action-type trapOnly
  - ip sla schedule 5 start-time now"
"The IP Service Level Agreements (SLAs) for Metro-Ethernet feature provides the capability to gather Ethernet-layer network performance metrics. Available statistical measurements for the IP SLAs Ethernet operation include round-trip time, jitter (interpacket delay variance), and packet loss.",Support for Ethernet Virtual Circuits (EVCs) was added.
Support for Port Channel interfaces in Y1731 operations.,"SNMP is partially supported; DM/LM can be polled for some attributes, but MIB support for all parameters is not supported."
Configure a dual-ended Ethernet delay or delay variation operation for IP SLAs Metro-Ethernet 3.0 (ITU-T Y.1731).,"1. Ensure the control-word is configured. To start DM timestamping, switch ON the control-word if the remote end is not switched ON.
2. Configure the Y1731 sender as PTP master and the Y1731 responder as PTP slave to avoid errors in RX and TX timestamping.
3. Reconfigure IP SLA Y1731 while doing online insertion removal (OIR) of IM or router reload, because local MEP is deleted during the course.
4. After performing a router reload, observe for a delay that may occur after issuing the ip sla schedule command to populate with the Y.1731 PM measurements.
5. Configure the dot1q tag to contain class of service (CoS) bits, which are used by IPSLA Y.1731 PM session to test delay or loss of packets with a specific CoS. Make sure the CoS is not a non-zero value when using EPM over untagged EFPs."
"To remove the MEP configurations in an already-configured dual-ended operation, always remove the MEPs in the reverse order in which they were configured. Remove the scheduler first, then the threshold monitoring configuration, and then the sender MEP configuration on the source device before removing the scheduler, proactive threshold monitoring, and receiver MEP configuration on the destination device.",1. Configure either Precision Time Protocol (PTP) or Network Time Protocol (NTP) on both the source and destination devices for time synchronization.
Configure the receiver on the responder and enter IP SLA Y.1731 delay configuration mode.,ethernet y1731 delay receive 1DM domain domain-name {evc evc-id | vlan vlan-id} cos cos {mpid source-mp-id | mac-address source-address}
"Configure global configuration mode, IP SLAs operation, and IP SLA Y.1731 delay configuration for an Ethernet dual-ended delay.","- Enter global configuration mode: configure terminal
- Begin configuring an IP SLAs operation: ip sla operation-number (Example: Router(config)# ip sla 500)
- Enter IP SLA Y.1731 delay configuration mode: ethernet y1731 delay 1DM domain domain-name {evc evc-id | vlan vlan-id} {mpid target-mp-id | mac-address target-address} cos cos {source {mpid source-mp-id | mac-address source-address}} (Example: Router(config-ip-sla)# ethernet y1731 delay 1DM domain xxx evc yyy mpid 101 cos 3 source mpid 100)
- Set the session with mac-address not to be inactivated when there is CFM error."
Configure the owner of an IP SLAs operation.,owner owner-id
Configuring the length of time during which performance measurements are conducted and the results stored.,"aggregate interval seconds (e.g., 900 seconds)"
"The requirement is to configure the IP SLAs Metro-Ethernet 3.0 (ITU-T Y.1731) operations, specifically setting up a Sender MEP for a Single-Ended Ethernet Delay or Delay Variation Operation.","1. Configure the history interval for storing statistics distributions during the lifetime of an IP SLAs Ethernet operation using the command ""history interval"" followed by the desired interval value.
2. Set the maximum delay time in milliseconds using the command ""max-delay"" followed by the desired millisecond value."
